it_1|Margherita Pizza
br_30|American Buttermilk Pancakes
br_31|Mexican Chilaquiles
br_32|Israeli Shakshuka
br_33|Turkish Menemen
br_34|Japanese Miso Breakfast
br_35|Chinese Congee
br_36|Vietnamese Banh Mi (Breakfast)
br_37|Brazilian Pão de Queijo
br_38|Gallo Pinto
br_39|Philippine Tapsilog
br_40|Avocado Toast
br_41|Swedish Pannkakor
br_42|Moroccan Baghrir
br_43|Nigerian Akara
br_44|Russian Syrniki
br_45|Swiss Bircher Muesli
br_46|Greek Yogurt with Honey
br_47|Portuguese Egg Tarts
br_48|Italian Breakfast
br_49|Spanish Churros
br_50|Jamaican Ackee and Saltfish
sn_1|Samosa
sn_2|Pani Puri
sn_3|Pakora (Mixed Veg Fritters)
sn_4|Dahi Papri Chaat
sn_5|Spring Rolls
sn_6|Nachos with Salsa
sn_7|Bruschetta
sn_8|Chicken Wings (Buffalo)
sn_9|Cheese Garlic Bread
sn_10|Aloo Tikki
ds_2|Gulab Jamun
ds_3|Tiramisu
ds_4|Chocolate Lava Cake
ds_5|Rasmalai
ds_6|Crème Brûlée
ds_7|Gajar Ka Halwa
ds_8|Baklava
ds_9|Mango Kulfi
ds_10|New York Cheesecake
it_2|Spaghetti Carbonara
it_3|Lasagne al Forno
it_4|Risotto alla Milanese
it_5|Fettuccine Alfredo
it_6|Osso Buco
it_7|Penne Arrabbiata
it_8|Pizza Quattro Stagioni
it_9|Gnocchi al Pomodoro
it_10|Cacio e Pepe
mx_2|Beef Tacos
mx_3|Guacamole
mx_4|Enchiladas Verdes
mx_5|Quesadilla
mx_6|Pozole Rojo
mx_7|Tamales
mx_8|Chiles Rellenos
mx_9|Huevos Rancheros
mx_10|Mole Poblano
ch_2|Kung Pao Chicken
ch_3|Dim Sum (Har Gow)
ch_4|Mapo Tofu
ch_5|Peking Duck
ch_6|Egg Fried Rice
ch_7|Sweet & Sour Pork
ch_8|Hot and Sour Soup
ch_9|General Tso's Chicken
ch_10|Dan Dan Noodles
